,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,오파스넷,A173130,7380,963,,실적발표,879,45,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,15.20,-28.62,,,,,,,,,,,,,
,시스템서비스,1.36,116.98,,,QOQ,105.36,34.88,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,6.66,1.59,23.84,6.02,,99,89,40,43,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,92,퀀트상위(%),8,,,,,,,,,,,,
,11.86,2.42,20.79,5.52,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,59.24,4.02,3.86,0.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 비지배순이익,-21,-13,0,0,0,1,0,0,1,0,,, 비지배순이익,1,0,0,0,0,39,
, GPM,0,7.98,15.68,13.06,15.27,15.93,15.12,14.62,17.42,18,,, GPM,16.44,18.87,12.61,19.42,20.09,0,
, OPM,5.87,4.9,3.92,2.98,5.45,4.76,4.98,6.22,5.55,7.22,6.04,, OPM,5.63,8.39,1.35,9.62,7.94,5.12,
, NPM,2.93,4.34,2.91,-11.43,5.36,5.09,3.58,4.67,4.92,6.54,3.47,, NPM,3.83,8.39,1.13,7.9,7.01,0,
, 판관비율,0,5.74,11.88,10.09,9.73,11.17,10.14,8.4,11.92,10.83,,, 판관비율,10.81,10.48,11.49,9.79,12.15,0,
, 연구비율,0,0,0,0.38,0.18,0.16,0.18,0.09,0.16,0.18,,, 연구비율,0.23,0.13,0.23,0.17,0.23,0,
, 감가상각비율,0,0,0.13,0.77,0.8,0.74,0.59,0.53,0.67,0.59,,, 감가상각비율,0.9,0.39,0.68,0.52,0.93,0,
, 설비투자비율,0,0,0.38,0.67,0.09,0.08,0.06,0.27,0.05,0.09,,, 설비투자비율,0,0,0.23,0.17,0,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,0,51,20,-9,11,88,-352,278,114,316,,, 영업활동현금흐름,-39,294,26,-6,2,0,
, 당기순이익,0,18,23,-119,60,63,61,105,96,145,,, 당기순이익,18,64,5,46,30,39,
, 감가상각비,0,0,1,8,9,9,10,12,13,13,,, 감가상각비,4,3,3,3,4,0,
, 투자활동현금흐름,0,-3,-100,0,10,-9,-3,-21,2,-8,,, 투자활동현금흐름,0,-2,-3,-4,1,0,
, 설비투자,0,0,3,7,1,1,1,6,1,2,,, 설비투자,0,0,1,1,0,0,
, 재무활동현금흐름,0,-68,85,105,-134,45,260,-128,-40,-83,,, 재무활동현금흐름,28,-105,31,-17,8,0,
, FCF,0,51,17,-16,10,88,-354,273,112,314,,, FCF,-39,294,25,-7,2,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,266,308,470,556,398,649,1002,988,1117,1107,,, 유동자산,892,1117,1007,1086,1107,0,
, 현금성자산,115,111,116,213,101,225,130,260,337,374,,, 현금성자산,149,337,391,363,374,0,
, 매출채권,106,135,179,152,151,161,262,323,376,230,,, 매출채권,246,376,207,311,230,0,
, 재고자산,24,39,48,115,77,169,483,281,279,374,,, 재고자산,365,279,267,287,374,0,
, 비유동자산,28,32,45,102,111,121,191,272,264,226,,, 비유동자산,245,264,254,242,226,0,
, 유형자산,2,1,5,25,18,16,17,26,35,29,,, 유형자산,28,35,33,32,29,0,
, 무형자산,1,2,5,4,8,8,8,10,10,10,,, 무형자산,10,10,10,10,10,0,
, 투자자산,19,19,20,55,57,66,65,69,72,74,,, 투자자산,72,72,72,73,74,0,
, 유동부채,132,150,185,411,199,390,740,680,675,556,,, 유동부채,534,675,563,583,556,0,
, 매입채무,71,105,134,226,160,254,299,365,324,142,,, 매입채무,163,324,193,222,142,0,
, 비유동부채,30,24,28,70,84,89,100,113,159,163,,, 비유동부채,115,159,160,161,163,0,
, 순차입금,0,0,0,0,0,0,170,0,0,0,,, 순차입금,97,0,0,0,0,0,
, 차입금,58,26,2,101,11,64,337,201,181,218,,, 차입금,281,181,212,209,218,0,
, 부채총계,162,174,213,481,283,479,840,793,834,719,,, 부채총계,649,834,723,744,719,0,
, 자본총계,132,166,302,177,226,291,353,467,547,614,,, 자본총계,488,547,538,584,614,0,
, 지배주주지분,132,166,302,177,226,291,353,460,539,606,,, 지배주주지분,480,539,530,576,606,0,
, 투하자본,61,70,98,66,86,92,463,265,366,491,,, 투하자본,476,366,314,408,491,0,
, 운전자본,59,69,93,41,68,76,446,239,331,462,,, 운전자본,448,331,281,376,462,0,
, 총자산,294,340,515,658,509,770,1193,1260,1381,1333,,, 총자산,1137,1381,1261,1328,1333,0,
, (개별)총자산,294,340,515,658,509,770,1194,1252,1364,1314,,, (개별)총자산,1125,1364,1240,1308,1314,0,
, (개별)부채총계,162,174,213,481,283,479,840,792,828,718,,, (개별)부채총계,646,828,713,742,718,0,
, (개별)자본총계,132,166,302,177,226,291,354,460,536,596,,, (개별)자본총계,479,536,527,566,596,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
