,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성중공업,A010140,26850,236280,,실적발표,28379,2962,973,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,5.09,70.02,200.74,,,,,,,,,,,,
,조선,0.00,265.05,17.63,,QOQ,7.71,24.43,-31.47,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,43.31,5.69,13.15,8.10,,83,81,3,6,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,33,퀀트상위(%),67,,,,,,,,,,,,
,-17.32,2.20,-13.80,-5.48,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.68,36.07,5.69,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 감가상각비,3169,3144,2949,3170,2825,1993,1992,2406,2892,2839,2840,, 감가상각비,721,729,697,691,722,730,
, 투자활동현금흐름,1295,-744,3693,-1177,-1668,998,11021,-1947,3105,-544,-4804,, 투자활동현금흐름,-131,3202,-1709,370,-2407,-1058,
, 설비투자,2070,1079,690,772,978,394,624,1534,1734,2259,2162,, 설비투자,440,654,418,668,519,557,
, 재무활동현금흐름,13917,-9567,504,3657,10114,-13691,9468,3760,-5992,-15044,-12665,, 재무활동현금흐름,2193,-6903,-1342,-3589,-3210,-4524,
, FCF,-17618,4321,965,-7584,-3418,8056,-17554,-6699,4811,21022,13466,, FCF,567,6244,-1729,3347,13160,-1312,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,99508,67799,74055,69295,66980,55936,84119,92455,93700,73246,74071,, 유동자산,85695,93700,86427,70003,73246,74071,
, 현금성자산,9841,3535,9460,3843,9872,5712,9192,5838,9560,14030,7726,, 현금성자산,6305,9560,5197,5968,14030,7726,
, 매출채권,55766,35637,5770,2858,2935,1487,7738,5454,11862,3852,14216,, 매출채권,4394,11862,9768,5351,3852,14216,
, 재고자산,12261,12168,14818,23396,18206,14876,15735,17292,4525,4632,4896,, 재고자산,9191,4525,4997,5003,4632,4896,
, 비유동자산,72667,70383,68774,66706,62241,65450,60798,63479,78247,72148,75417,, 비유동자산,65065,78247,76385,69415,72148,75417,
, 유형자산,64424,61629,58823,57273,55054,56137,52354,52087,51159,50896,51071,, 유형자산,51846,51159,50827,50737,50896,51071,
, 무형자산,961,916,588,462,278,244,264,270,278,320,320,, 무형자산,278,278,330,322,320,320,
, 투자자산,2566,2087,2064,3020,1604,5775,3844,4609,16797,11122,15319,, 투자자산,6534,16797,15354,7684,11122,15319,
, 유동부채,90457,71453,62671,70891,75339,70583,92160,112319,120292,94746,94222,, 유동부채,108398,120292,111813,95596,94746,94222,
, 매입채무,35252,26920,9541,9436,6785,8210,10042,11473,9456,8555,10225,, 매입채무,8734,9456,8906,8871,8555,10225,
, 비유동부채,18965,8754,12695,12621,16700,9830,17038,9523,14160,11195,14316,, 비유동부채,5050,14160,12919,7732,11195,14316,
, 순차입금,34979,30640,14909,29504,32795,10428,20281,28832,24810,10708,11630,, 순차입금,33263,24810,28514,23541,10708,11630,
, 차입금,53273,42461,29147,38667,48516,22723,31196,36813,35436,27401,23065,, 차입금,40093,35436,34167,30206,27401,23065,
, 부채총계,109422,80207,75366,83512,92039,80413,109198,121842,134452,105941,108538,, 부채총계,113448,134452,124732,103328,105941,108538,
