,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
, 유동자산,312,285,290,287,291,382,731,1033,3052,3923,,, 유동자산,2924,3052,3361,3485,3923,0,
, 현금성자산,4,10,6,15,28,3,41,212,620,767,,, 현금성자산,885,620,418,545,767,0,
, 매출채권,94,77,100,133,105,209,291,322,965,1586,,, 매출채권,727,965,1119,1339,1586,0,
, 재고자산,184,152,137,131,148,160,348,443,604,847,,, 재고자산,627,604,653,745,847,0,
, 비유동자산,547,513,481,521,529,568,589,880,1874,2224,,, 비유동자산,1740,1874,1907,2134,2224,0,
, 유형자산,430,414,387,383,380,406,493,807,1676,1773,,, 유형자산,1615,1676,1707,1747,1773,0,
, 무형자산,60,53,49,48,50,54,0,3,8,14,,, 무형자산,4,8,12,13,14,0,
, 투자자산,57,46,45,91,99,106,67,70,124,245,,, 투자자산,122,124,129,240,245,0,
, 유동부채,313,306,257,289,314,448,770,529,526,697,,, 유동부채,555,526,683,574,697,0,
, 매입채무,98,88,87,109,89,118,235,271,169,414,,, 매입채무,250,169,384,323,414,0,
, 비유동부채,250,214,167,138,111,95,112,125,58,69,,, 비유동부채,109,58,63,68,69,0,
, 순차입금,350,372,276,253,247,351,395,0,0,0,,, 순차입금,0,0,0,0,0,0,
, 차입금,358,389,294,272,279,362,444,183,15,11,,, 차입금,159,15,5,6,11,0,
, 부채총계,563,520,424,427,425,543,882,654,584,766,,, 부채총계,664,584,746,642,766,0,
, 자본총계,296,278,347,381,395,407,438,1259,4342,5381,,, 자본총계,4000,4342,4522,4977,5381,0,
, 지배주주지분,296,278,347,381,395,407,431,1259,4342,5381,,, 지배주주지분,4000,4342,4522,4977,5381,0,
, 투하자본,610,555,537,538,544,657,897,1301,3076,3792,,, 투하자본,2719,3076,3095,3508,3792,0,
, 운전자본,180,141,150,155,164,251,404,494,1400,2019,,, 운전자본,1104,1400,1388,1761,2019,0,
, 총자산,859,798,771,808,820,950,1320,1913,4926,6147,,, 총자산,4664,4926,5268,5619,6147,0,
, (개별)총자산,859,798,771,808,820,950,1320,1913,4926,6142,,, (개별)총자산,4664,4926,5268,5618,6142,0,
, (개별)부채총계,563,520,424,427,425,543,882,654,584,759,,, (개별)부채총계,664,584,746,640,759,0,
, (개별)자본총계,296,278,347,381,395,407,438,1259,4342,5383,,, (개별)자본총계,4000,4342,4522,4978,5383,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
