,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,플리토,A300080,12220,2017,,실적발표,102,7,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,82.98,204.57,,,,,,,,,,,,,
,인터넷서비스,0.00,65.52,,,QOQ,-13.32,-74.53,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,33.49,12.09,36.10,17.10,,96,98,26,3,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,60,퀀트상위(%),40,,,,,,,,,,,,
,-43.52,11.91,-34.38,-29.99,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,125.12,15.26,34.71,1.72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 감가상각비,0,0,0,2,5,5,6,8,7,8,,, 감가상각비,2,2,2,2,2,0,
, 투자활동현금흐름,0,0,11,-203,43,-80,76,149,-3,4,,, 투자활동현금흐름,-3,1,1,-1,3,0,
, 설비투자,0,0,0,3,1,1,1,3,1,1,,, 설비투자,0,0,0,0,1,0,
, 재무활동현금흐름,0,0,-7,268,-3,96,-3,-37,-7,-22,,, 재무활동현금흐름,2,-17,-3,0,-2,0,
, FCF,0,0,-4,-60,-19,-61,-56,-48,13,72,,, FCF,-10,26,-7,-3,56,0,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,67,47,34,249,228,262,219,127,139,256,,, 유동자산,134,139,142,179,256,0,
, 현금성자산,65,46,33,42,64,20,38,104,108,151,,, 현금성자산,83,108,99,94,151,0,
, 매출채권,1,1,1,6,11,12,15,21,28,98,,, 매출채권,48,28,33,73,98,0,
, 재고자산,0,0,0,0,0,0,0,0,0,0,,, 재고자산,0,0,0,0,0,0,
, 비유동자산,13,15,5,15,20,17,29,31,26,20,,, 비유동자산,27,26,23,16,20,0,
, 유형자산,0,1,1,12,9,5,15,20,14,12,,, 유형자산,15,14,11,10,12,0,
, 무형자산,0,0,0,0,1,1,1,1,0,0,,, 무형자산,0,0,0,0,0,0,
, 투자자산,1,14,4,1,8,8,10,8,8,3,,, 투자자산,8,8,9,3,3,0,
, 유동부채,12,78,177,11,25,19,108,83,26,82,,, 유동부채,25,26,26,34,82,0,
, 매입채무,2,3,1,3,6,9,9,11,12,33,,, 매입채무,14,12,10,17,33,0,
, 비유동부채,2,95,8,12,11,88,20,31,29,27,,, 비유동부채,29,29,27,25,27,0,
, 순차입금,0,0,0,0,0,0,0,0,0,0,,, 순차입금,0,0,0,0,0,0,
, 차입금,7,152,168,9,6,82,101,81,15,10,,, 차입금,17,15,10,11,10,0,
, 부채총계,14,173,185,23,36,107,128,114,55,109,,, 부채총계,54,55,53,59,109,0,
, 자본총계,66,-111,-146,241,212,172,120,44,110,167,,, 자본총계,107,110,112,136,167,0,
, 지배주주지분,66,-111,-146,241,212,172,120,44,110,167,,, 지배주주지분,107,110,112,136,167,0,
, 투하자본,-1,-1,1,15,14,8,21,30,30,77,,, 투하자본,49,30,34,66,77,0,
, 운전자본,-1,-2,0,3,5,3,6,10,16,65,,, 운전자본,34,16,23,56,65,0,
, 총자산,80,62,39,264,248,279,248,158,165,276,,, 총자산,161,165,165,195,276,0,
, (개별)총자산,80,62,39,264,247,276,239,149,165,266,,, (개별)총자산,161,165,161,190,266,0,
, (개별)부채총계,14,173,185,23,35,106,121,100,44,97,,, (개별)부채총계,44,44,42,49,97,0,
, (개별)자본총계,66,-111,-146,241,212,170,118,49,121,169,,, (개별)자본총계,117,121,119,141,169,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
