,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,씨에스윈드,A112610,66100,27875,,실적발표,7827,702,,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,16.39,99.98,,,,,,,,,,,,,
,풍력,1.51,154.27,13.74,,QOQ,31.11,6.81,,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,14.01,2.17,15.47,10.93,,93,88,27,31,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,68,퀀트상위(%),32,,,,,,,,,,,,
,34.24,2.78,6.43,7.65,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,1521.13,5.11,7.41,0.99,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 투자자산,236,93,118,134,129,69,524,521,739,737,,, 투자자산,611,739,735,729,737,0,
, 유동부채,811,809,2258,3138,3322,5727,6238,14309,14806,12442,,, 유동부채,11738,14806,14096,13007,12442,0,
, 매입채무,360,236,755,1136,1591,3163,3234,8317,7748,6676,,, 매입채무,5439,7748,6854,6333,6676,0,
, 비유동부채,60,52,621,520,1049,2546,2327,4945,9286,8096,,, 비유동부채,8261,9286,9212,7815,8096,0,
, 순차입금,0,0,1330,1405,1461,1771,2794,7335,10674,7051,,, 순차입금,10188,10674,10862,9394,7051,0,
, 차입금,169,300,1777,2280,2417,4433,4775,9553,14376,12019,,, 차입금,12447,14376,14305,12465,12019,0,
, 부채총계,871,861,2879,3658,4371,8273,8565,19254,24092,20538,,, 부채총계,19999,24092,23308,20822,20538,0,
, 자본총계,2986,3019,3185,3698,4435,9438,9276,9439,12003,13313,,, 자본총계,11292,12003,12566,12367,13313,0,
, 지배주주지분,2984,3017,3021,3410,4131,8942,8795,8963,11487,12858,,, 지배주주지분,10806,11487,12112,11939,12858,0,
, 투하자본,2178,2811,4038,3976,5213,9430,9535,11668,17415,14015,,, 투하자본,17066,17415,18256,16713,14015,0,
, 운전자본,990,1319,2278,1698,2488,4330,4244,2381,6088,2803,,, 운전자본,6426,6088,6765,5626,2803,0,
, 총자산,3857,3880,6064,7356,8806,17711,17841,28693,36095,33851,,, 총자산,31291,36095,35874,33189,33851,0,
, (개별)총자산,3386,3411,4646,4992,4887,10947,11087,12157,16368,14640,,, (개별)총자산,14584,16368,16535,14537,14640,0,
, (개별)부채총계,387,695,1990,2191,1460,2274,2708,3715,6429,5160,,, (개별)부채총계,5618,6429,6873,5433,5160,0,
, (개별)자본총계,2999,2716,2656,2801,3427,8673,8379,8442,9939,9480,,, (개별)자본총계,8966,9939,9662,9104,9480,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
