,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,HD현대,A267250,265500,209727,,실적발표,187371,19719,4477,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,9.59,124.55,120.89,,,,,,,,,,,,
,지주사,1.36,166.34,14.30,,QOQ,2.81,15.83,156.40,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,21.78,2.18,7.45,8.56,,96,67,32,38,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,65,퀀트상위(%),35,,,,,,,,,,,,
,14.33,0.89,5.30,4.46,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,109.97,3.20,1.27,0.43,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 비유동자산,0,130614,144637,157803,185099,222237,354401,358997,382738,380267,,, 비유동자산,361087,382739,387406,379902,380267,0,
, 유형자산,0,72339,78857,84089,106796,132689,242199,250525,262625,277254,,, 유형자산,253682,262625,271572,276931,277254,0,
, 무형자산,0,21594,20918,21519,20087,30643,43742,42746,43147,42262,,, 무형자산,43028,43147,42907,42550,42262,0,
, 투자자산,0,34910,41585,41813,38119,35471,18403,16646,26894,18005,,, 투자자산,16394,26894,26269,15690,18005,0,
, 유동부채,0,65287,86602,80223,63364,116859,262746,285322,323331,335727,,, 유동부채,294816,323331,355961,324616,335727,0,
, 매입채무,0,31239,35928,35291,30356,54698,78645,83256,101534,103264,,, 매입채무,90029,101534,109563,99604,103264,0,
, 비유동부채,0,42580,41335,58085,91247,122407,160326,162188,151485,145428,,, 비유동부채,130810,151485,158789,146978,145428,0,
, 순차입금,0,51651,65362,59305,85764,127789,142513,137021,90712,48366,,, 순차입금,108225,90712,72361,64112,48366,0,
, 차입금,0,63312,78748,86496,108744,151804,197907,199307,169940,169933,,, 차입금,172015,169940,179361,170854,169933,0,
, 부채총계,0,107867,127937,138308,154611,239266,423072,447510,474816,481155,,, 부채총계,425626,474816,514750,471594,481155,0,
, 자본총계,0,101019,105542,118847,110979,118521,232637,232318,263851,289268,,, 자본총계,254948,263851,270104,281562,289268,0,
, 지배주주지분,0,74884,77275,79920,70149,63032,74852,73276,86753,96297,,, 지배주주지분,85042,86753,92554,94770,96297,0,
, 투하자본,0,105691,113396,113371,126630,173790,309747,318205,319647,338167,,, 투하자본,318999,319647,334690,336367,338167,0,
, 운전자본,0,33352,34539,29282,19834,41101,67548,67680,57022,60913,,, 운전자본,65317,57022,63118,59436,60913,0,
, 총자산,0,208886,233479,257155,265590,357787,655709,679828,738667,770423,,, 총자산,680574,738667,784854,753156,770423,0,
