,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전자,A005930,189000,11188116,,실적발표,938374,200737,192921,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,23.82,209.17,154.64,,,,,,,,,,,,
,종합 반도체,0.78,29.94,6.69,,QOQ,9.03,65.00,60.68,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,25.28,2.64,10.43,13.07,,91,91,78,8,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,91,퀀트상위(%),9,,,,,,,,,,,,
,12.75,1.29,10.29,11.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.38,5.26,2.64,0.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 설비투자비율,11.96,17.86,12.12,11.01,15.87,16.85,16.36,22.25,17.09,16.18,14.24,, 설비투자비율,13.85,19.9,15.32,17.48,12.56,12.31,
,,,,,,,,,,,,,,,,,,,,,
,연간 현금흐름표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 현금흐름표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 영업활동현금흐름,473856,621620,670319,453829,652870,651054,621813,441374,729826,785378,853152,, 영업활동현금흐름,221986,220223,165809,173601,225745,287997,
, 당기순이익,227261,421867,443449,217389,264078,399075,556541,154871,344514,333194,452067,, 당기순이익,101009,77544,82229,51164,122257,196417,
, 감가상각비,207130,221174,264820,295976,303356,342474,391077,386666,426308,461951,469265,, 감가상각비,110575,115006,115188,113567,118190,122320,
, 투자활동현금흐름,-296587,-493852,-522405,-399482,-536286,-330478,-316028,-169228,-853817,-493891,-685122,, 투자활동현금흐름,-253828,-118679,-64312,-177423,-133477,-309910,
, 설비투자,241430,427922,295564,253678,375920,471221,494304,576113,514064,510583,475221,, 설비투자,109585,150855,121279,130354,108095,115493,
, 재무활동현금흐름,-86695,-125609,-150902,-94845,-83278,-239910,-193900,-85931,-77972,-217172,-134780,, 재무활동현금흐름,-21785,-27811,-113417,-34067,-41877,54581,
, FCF,232427,193698,374755,200152,276950,179833,127509,-134739,215763,274795,377931,, FCF,112401,69368,44530,43247,117650,172504,
,,,,,,,,,,,,,,,,,,,,,
,연간 재무상태표,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 재무상태표,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 유동자산,1414297,1469825,1746974,1813853,1982156,2181632,2184706,1959366,2270623,2294409,2476846,, 유동자산,2192351,2270623,2226857,2121607,2294409,2476846,
, 현금성자산,321114,305451,303405,268860,293826,390314,496807,690809,537056,533995,578564,, 현금성자산,431314,537056,531610,471200,533995,578564,
, 매출채권,278004,318050,369485,393105,345696,452107,418708,432806,532460,582771,586090,, 매출채권,524137,532460,540080,503562,582771,586090,
, 재고자산,183535,249834,289847,267665,320431,413844,521879,516259,517549,503324,526368,, 재고자산,533568,517549,532203,510374,503324,526368,
