,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,고려아연,A010130,1593000,332506,,실적발표,47699,4285,2092,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,39.77,256.36,184.09,,,,,,,,,,,,
,아연,0.47,82.36,27.89,,QOQ,14.67,56.74,189.73,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,42.90,3.04,7.09,7.43,,94,75,52,22,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,70,퀀트상위(%),30,,,,,,,,,,,,
,21.29,1.54,7.29,8.24,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,109.08,10.80,3.04,0.94,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 투자자산,10075,5388,3511,2059,2340,6064,12181,15303,10967,12985,14341,, 투자자산,14565,10967,11938,13959,12985,14341,
, 유동부채,5368,6065,5384,7043,11184,17705,23191,19028,63663,54082,61275,, 유동부채,33076,63663,61158,49710,54082,61275,
, 매입채무,3681,4391,3867,4885,8051,11747,11203,10612,18438,20234,26107,, 매입채무,11887,18438,16436,12733,20234,26107,
, 비유동부채,2831,3260,3130,2979,2942,4593,5471,5013,8306,23297,30840,, 비유동부채,9029,8306,6135,20121,23297,30840,
, 순차입금,0,0,0,0,0,0,0,0,23569,37196,14707,, 순차입금,3169,23569,30479,34867,37196,14707,
, 차입금,480,338,305,407,1366,4460,10498,9259,49721,51551,59602,, 차입금,24646,49721,46282,51477,51551,59602,
, 부채총계,8199,9325,8514,10022,14126,22298,28662,24041,71969,77379,92115,, 부채총계,42105,71969,67293,69831,77379,92115,
, 자본총계,56627,61057,63745,68384,70870,77342,92317,96420,75954,80354,111842,, 자본총계,94308,75954,76541,78546,80354,111842,
, 지배주주지분,55165,59603,62500,67154,69698,76077,90427,93902,73337,77832,109377,, 지배주주지분,91819,73336,73972,76037,77832,109377,
, 투하자본,36785,39827,40055,43524,50865,57251,60538,60369,76193,92914,101133,, 투하자본,72916,76193,82745,89304,92914,101133,
, 운전자본,11942,12802,12204,14517,18924,22661,23594,21679,28006,41869,47487,, 운전자본,27898,28006,33676,40225,41869,47487,
, 총자산,64826,70382,72259,78406,84996,99640,120979,120461,147923,157733,203957,, 총자산,136413,147923,143834,148377,157733,203957,
, (개별)총자산,58796,63041,64545,69424,75156,83213,100913,101777,122485,124830,169216,, (개별)총자산,114037,122485,116478,120593,124830,169216,
